epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1489.35,1.02556,0.54731,1.22384,0.9306,1,0.98885,0.6306,1.42196,0.55201,1.53646,0.000539275,0.000539275,0.000539275
43,1525.55,1.06207,0.57386,1.24045,0.88114,0.96914,0.98107,0.65567,1.24303,0.56715,1.49045,0.000511769,0.000511769,0.000511769
44,1559.33,1.01791,0.55942,1.20016,0.91125,0.96154,0.97259,0.58913,1.43599,0.63691,1.59354,0.000484263,0.000484263,0.000484263
45,1597.38,1.01534,0.53652,1.22932,0.84467,0.96154,0.95936,0.62436,1.3392,0.64384,1.48211,0.000456758,0.000456758,0.000456758
46,1630.45,1.03343,0.55807,1.22855,0.96106,0.96738,0.995,0.65278,1.28243,0.53968,1.51018,0.000429253,0.000429253,0.000429253
47,1666.69,0.96911,0.54455,1.19594,0.95346,1,0.98885,0.63105,1.31397,0.5659,1.46412,0.000401747,0.000401747,0.000401747
48,1704.63,0.99355,0.51664,1.19925,0.9544,1,0.98538,0.67513,1.18642,0.50528,1.36543,0.000374242,0.000374242,0.000374242
49,1741.92,0.97753,0.52436,1.19077,0.95657,1,0.98885,0.67307,1.18006,0.4961,1.36783,0.000346736,0.000346736,0.000346736
50,1782.28,0.94524,0.50368,1.18862,0.99479,1,0.995,0.70338,1.15049,0.46848,1.35544,0.000319231,0.000319231,0.000319231
51,1846.25,0.89481,0.48877,1.1943,0.99007,1,0.995,0.68664,1.15187,0.46495,1.37072,0.000291725,0.000291725,0.000291725
52,1884.47,0.8714,0.44406,1.18724,0.95463,1,0.995,0.7055,1.14194,0.52966,1.376,0.00026422,0.00026422,0.00026422
53,1920.15,0.88615,0.41822,1.19947,0.9882,1,0.995,0.67025,1.24175,0.53356,1.49478,0.000236714,0.000236714,0.000236714
54,1956.06,0.84096,0.41394,1.18064,0.9935,1,0.995,0.69178,1.18276,0.48016,1.41327,0.000209209,0.000209209,0.000209209
55,1991.59,0.82942,0.41135,1.15523,0.99279,1,0.995,0.71333,1.13141,0.47301,1.38595,0.000181703,0.000181703,0.000181703
56,2026.14,0.82764,0.41454,1.16023,0.99466,1,0.995,0.72851,1.11374,0.45016,1.38978,0.000154198,0.000154198,0.000154198
57,2060.24,0.80451,0.3814,1.17815,0.99303,1,0.995,0.72749,1.12788,0.44853,1.38145,0.000126692,0.000126692,0.000126692
58,2097.57,0.78578,0.37559,1.15158,0.99384,1,0.995,0.70523,1.17971,0.44742,1.39613,9.91865e-05,9.91865e-05,9.91865e-05
59,2135.21,0.78735,0.41276,1.14833,0.99477,1,0.995,0.74071,1.15576,0.42402,1.37632,7.1681e-05,7.1681e-05,7.1681e-05
60,2172.71,0.75586,0.36725,1.13521,0.99508,1,0.995,0.7456,1.1111,0.42311,1.36141,4.41755e-05,4.41755e-05,4.41755e-05
